station,variant,head_type,excess_formulation,exceedance_loss_weight,excess_amp_loss_weight,shape_loss_weight,body_loss_weight,excess_loss_weight,gate_loss_weight,config
CBBT,S0,single,direct,0.0,0.0,0,0,0,0,train_config_NCEP_CBBT_S0_Single.sh
CBBT,D0,dual,direct,0.0,0.0,0,1,2,0.5,train_config_NCEP_CBBT_D0_DualBase.sh
CBBT,D1,dual,direct,0.025,0.0,0,1,2,0.5,train_config_NCEP_CBBT_D1_Exceedance.sh
CBBT,D2,dual,direct,0.0,0.003,0,1,2,0.5,train_config_NCEP_CBBT_D2_Amp.sh
CBBT,D3,dual,direct,0.025,0.003,0,1,2,0.5,train_config_NCEP_CBBT_D3_ExceedanceAmp.sh
Lewes,S0,single,direct,0.0,0.0,0,0,0,0,train_config_NCEP_Lewes_S0_Single.sh
Lewes,D0,dual,direct,0.0,0.0,0,1,2,0.5,train_config_NCEP_Lewes_D0_DualBase.sh
Lewes,D1,dual,direct,0.025,0.0,0,1,2,0.5,train_config_NCEP_Lewes_D1_Exceedance.sh
Lewes,D2,dual,direct,0.0,0.003,0,1,2,0.5,train_config_NCEP_Lewes_D2_Amp.sh
Lewes,D3,dual,direct,0.025,0.003,0,1,2,0.5,train_config_NCEP_Lewes_D3_ExceedanceAmp.sh
Battery,S0,single,direct,0.0,0.0,0,0,0,0,train_config_NCEP_Battery_S0_Single.sh
Battery,D0,dual,direct,0.0,0.0,0,1,2,0.5,train_config_NCEP_Battery_D0_DualBase.sh
Battery,D1,dual,direct,0.025,0.0,0,1,2,0.5,train_config_NCEP_Battery_D1_Exceedance.sh
Battery,D2,dual,direct,0.0,0.003,0,1,2,0.5,train_config_NCEP_Battery_D2_Amp.sh
Battery,D3,dual,direct,0.025,0.003,0,1,2,0.5,train_config_NCEP_Battery_D3_ExceedanceAmp.sh
Boston,S0,single,direct,0.0,0.0,0,0,0,0,train_config_NCEP_Boston_S0_Single.sh
Boston,D0,dual,direct,0.0,0.0,0,1,2,0.5,train_config_NCEP_Boston_D0_DualBase.sh
Boston,D1,dual,direct,0.025,0.0,0,1,2,0.5,train_config_NCEP_Boston_D1_Exceedance.sh
Boston,D2,dual,direct,0.0,0.003,0,1,2,0.5,train_config_NCEP_Boston_D2_Amp.sh
Boston,D3,dual,direct,0.025,0.003,0,1,2,0.5,train_config_NCEP_Boston_D3_ExceedanceAmp.sh
