station,cell,head_type,global_loss,excess_loss,tail_enabled,exceedance_loss_mode,exceedance_loss_weight,body_loss_weight,excess_loss_weight,gate_loss_weight,excess_amp_loss_weight,shape_loss_weight,run_name,config,result_root
CBBT,G0_T0,single,mse,mse,0,mse,0,1,1,1,0,0,NCEP_CBBT_G0_T0,train_config_NCEP_CBBT_G0_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G0_T0,single,mse,mse,0,mse,0,1,1,1,0,0,NCEP_Boston_G0_T0,train_config_NCEP_Boston_G0_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G0_T0,single,mse,mse,0,mse,0,1,1,1,0,0,NCEP_Battery_G0_T0,train_config_NCEP_Battery_G0_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G0_T0,single,mse,mse,0,mse,0,1,1,1,0,0,NCEP_Lewes_G0_T0,train_config_NCEP_Lewes_G0_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
CBBT,G0_T1,single,mse,mse,1,mse,0.025,1,1,1,0,0,NCEP_CBBT_G0_T1,train_config_NCEP_CBBT_G0_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G0_T1,single,mse,mse,1,mse,0.025,1,1,1,0,0,NCEP_Boston_G0_T1,train_config_NCEP_Boston_G0_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G0_T1,single,mse,mse,1,mse,0.025,1,1,1,0,0,NCEP_Battery_G0_T1,train_config_NCEP_Battery_G0_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G0_T1,single,mse,mse,1,mse,0.025,1,1,1,0,0,NCEP_Lewes_G0_T1,train_config_NCEP_Lewes_G0_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
CBBT,G0_T2,single,mse,mse,1,wqe,0.025,1,1,1,0,0,NCEP_CBBT_G0_T2,train_config_NCEP_CBBT_G0_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G0_T2,single,mse,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Boston_G0_T2,train_config_NCEP_Boston_G0_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G0_T2,single,mse,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Battery_G0_T2,train_config_NCEP_Battery_G0_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G0_T2,single,mse,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Lewes_G0_T2,train_config_NCEP_Lewes_G0_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
CBBT,G1_T0,single,wqe,mse,0,mse,0,1,1,1,0,0,NCEP_CBBT_G1_T0,train_config_NCEP_CBBT_G1_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G1_T0,single,wqe,mse,0,mse,0,1,1,1,0,0,NCEP_Boston_G1_T0,train_config_NCEP_Boston_G1_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G1_T0,single,wqe,mse,0,mse,0,1,1,1,0,0,NCEP_Battery_G1_T0,train_config_NCEP_Battery_G1_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G1_T0,single,wqe,mse,0,mse,0,1,1,1,0,0,NCEP_Lewes_G1_T0,train_config_NCEP_Lewes_G1_T0.sh,/home/exouser/media/share/PACT/0924_s0_refresh
CBBT,G1_T1,single,wqe,mse,1,mse,0.025,1,1,1,0,0,NCEP_CBBT_G1_T1,train_config_NCEP_CBBT_G1_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G1_T1,single,wqe,mse,1,mse,0.025,1,1,1,0,0,NCEP_Boston_G1_T1,train_config_NCEP_Boston_G1_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G1_T1,single,wqe,mse,1,mse,0.025,1,1,1,0,0,NCEP_Battery_G1_T1,train_config_NCEP_Battery_G1_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G1_T1,single,wqe,mse,1,mse,0.025,1,1,1,0,0,NCEP_Lewes_G1_T1,train_config_NCEP_Lewes_G1_T1.sh,/home/exouser/media/share/PACT/0924_s0_refresh
CBBT,G1_T2,single,wqe,mse,1,wqe,0.025,1,1,1,0,0,NCEP_CBBT_G1_T2,train_config_NCEP_CBBT_G1_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Boston,G1_T2,single,wqe,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Boston_G1_T2,train_config_NCEP_Boston_G1_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Battery,G1_T2,single,wqe,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Battery_G1_T2,train_config_NCEP_Battery_G1_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
Lewes,G1_T2,single,wqe,mse,1,wqe,0.025,1,1,1,0,0,NCEP_Lewes_G1_T2,train_config_NCEP_Lewes_G1_T2.sh,/home/exouser/media/share/PACT/0924_s0_refresh
