station,cell,global_loss,excess_loss,tail_enabled,exceedance_loss_weight,body_loss_weight,excess_loss_weight,gate_loss_weight,excess_amp_loss_weight,shape_loss_weight,config,result_root
CBBT,G0_E0_T0,mse,mse,0,0,1,2,0.5,0,0,train_config_NCEP_CBBT_G0_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G0_E0_T0,mse,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Boston_G0_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G0_E0_T0,mse,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Battery_G0_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G0_E0_T0,mse,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Lewes_G0_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G0_E0_T1,mse,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_CBBT_G0_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G0_E0_T1,mse,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Boston_G0_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G0_E0_T1,mse,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Battery_G0_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G0_E0_T1,mse,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Lewes_G0_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G0_E1_T0,mse,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_CBBT_G0_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G0_E1_T0,mse,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Boston_G0_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G0_E1_T0,mse,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Battery_G0_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G0_E1_T0,mse,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Lewes_G0_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G0_E1_T1,mse,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_CBBT_G0_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G0_E1_T1,mse,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Boston_G0_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G0_E1_T1,mse,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Battery_G0_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G0_E1_T1,mse,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Lewes_G0_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G1_E0_T0,wqe,mse,0,0,1,2,0.5,0,0,train_config_NCEP_CBBT_G1_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G1_E0_T0,wqe,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Boston_G1_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G1_E0_T0,wqe,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Battery_G1_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G1_E0_T0,wqe,mse,0,0,1,2,0.5,0,0,train_config_NCEP_Lewes_G1_E0_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G1_E0_T1,wqe,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_CBBT_G1_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G1_E0_T1,wqe,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Boston_G1_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G1_E0_T1,wqe,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Battery_G1_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G1_E0_T1,wqe,mse,1,0.025,1,2,0.5,0,0,train_config_NCEP_Lewes_G1_E0_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G1_E1_T0,wqe,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_CBBT_G1_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G1_E1_T0,wqe,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Boston_G1_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G1_E1_T0,wqe,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Battery_G1_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G1_E1_T0,wqe,wqe,0,0,1,2,0.5,0,0,train_config_NCEP_Lewes_G1_E1_T0.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
CBBT,G1_E1_T1,wqe,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_CBBT_G1_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Boston,G1_E1_T1,wqe,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Boston_G1_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Battery,G1_E1_T1,wqe,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Battery_G1_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
Lewes,G1_E1_T1,wqe,wqe,1,0.025,1,2,0.5,0,0,train_config_NCEP_Lewes_G1_E1_T1.sh,/home/exouser/media/share/PACT/All_results_0922_wqe_factorial_multickpt
