config	station	head	loss_mode	tail	slope	history	lr	run_name	recommended_qsub_label	qsub_command
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_mse.sh	CBBT	single	mse	0	0	24	5e-3	NCEP_CBBT_24h_single_mse	P0_CBBT_single_mse	qsub_local train.sh P0_CBBT_single_mse experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_tail.sh	CBBT	single	mse_tail	1	0	24	5e-3	NCEP_CBBT_24h_single_tail	P0_CBBT_single_tail	qsub_local train.sh P0_CBBT_single_tail experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_slope.sh	CBBT	single	mse_slope	0	1	24	5e-3	NCEP_CBBT_24h_single_slope	P0_CBBT_single_slope	qsub_local train.sh P0_CBBT_single_slope experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_tail_slope.sh	CBBT	single	mse_tail_slope	1	1	24	5e-3	NCEP_CBBT_24h_single_tail_slope	P0_CBBT_single_tail_slope	qsub_local train.sh P0_CBBT_single_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_single_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_mse.sh	CBBT	dual	mse	0	0	24	5e-3	NCEP_CBBT_24h_dual_mse	P0_CBBT_dual_mse	qsub_local train.sh P0_CBBT_dual_mse experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_tail.sh	CBBT	dual	mse_tail	1	0	24	5e-3	NCEP_CBBT_24h_dual_tail	P0_CBBT_dual_tail	qsub_local train.sh P0_CBBT_dual_tail experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_slope.sh	CBBT	dual	mse_slope	0	1	24	5e-3	NCEP_CBBT_24h_dual_slope	P0_CBBT_dual_slope	qsub_local train.sh P0_CBBT_dual_slope experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_tail_slope.sh	CBBT	dual	mse_tail_slope	1	1	24	5e-3	NCEP_CBBT_24h_dual_tail_slope	P0_CBBT_dual_tail_slope	qsub_local train.sh P0_CBBT_dual_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_CBBT_24h_dual_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_mse.sh	Lewes	single	mse	0	0	24	5e-3	NCEP_Lewes_24h_single_mse	P0_Lewes_single_mse	qsub_local train.sh P0_Lewes_single_mse experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_tail.sh	Lewes	single	mse_tail	1	0	24	5e-3	NCEP_Lewes_24h_single_tail	P0_Lewes_single_tail	qsub_local train.sh P0_Lewes_single_tail experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_slope.sh	Lewes	single	mse_slope	0	1	24	5e-3	NCEP_Lewes_24h_single_slope	P0_Lewes_single_slope	qsub_local train.sh P0_Lewes_single_slope experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_tail_slope.sh	Lewes	single	mse_tail_slope	1	1	24	5e-3	NCEP_Lewes_24h_single_tail_slope	P0_Lewes_single_tail_slope	qsub_local train.sh P0_Lewes_single_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_single_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_mse.sh	Lewes	dual	mse	0	0	24	5e-3	NCEP_Lewes_24h_dual_mse	P0_Lewes_dual_mse	qsub_local train.sh P0_Lewes_dual_mse experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_tail.sh	Lewes	dual	mse_tail	1	0	24	5e-3	NCEP_Lewes_24h_dual_tail	P0_Lewes_dual_tail	qsub_local train.sh P0_Lewes_dual_tail experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_slope.sh	Lewes	dual	mse_slope	0	1	24	5e-3	NCEP_Lewes_24h_dual_slope	P0_Lewes_dual_slope	qsub_local train.sh P0_Lewes_dual_slope experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_tail_slope.sh	Lewes	dual	mse_tail_slope	1	1	24	5e-3	NCEP_Lewes_24h_dual_tail_slope	P0_Lewes_dual_tail_slope	qsub_local train.sh P0_Lewes_dual_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Lewes_24h_dual_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_mse.sh	Battery	single	mse	0	0	24	5e-3	NCEP_Battery_24h_single_mse	P0_Battery_single_mse	qsub_local train.sh P0_Battery_single_mse experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_tail.sh	Battery	single	mse_tail	1	0	24	5e-3	NCEP_Battery_24h_single_tail	P0_Battery_single_tail	qsub_local train.sh P0_Battery_single_tail experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_slope.sh	Battery	single	mse_slope	0	1	24	5e-3	NCEP_Battery_24h_single_slope	P0_Battery_single_slope	qsub_local train.sh P0_Battery_single_slope experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_tail_slope.sh	Battery	single	mse_tail_slope	1	1	24	5e-3	NCEP_Battery_24h_single_tail_slope	P0_Battery_single_tail_slope	qsub_local train.sh P0_Battery_single_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_single_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_mse.sh	Battery	dual	mse	0	0	24	5e-3	NCEP_Battery_24h_dual_mse	P0_Battery_dual_mse	qsub_local train.sh P0_Battery_dual_mse experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_tail.sh	Battery	dual	mse_tail	1	0	24	5e-3	NCEP_Battery_24h_dual_tail	P0_Battery_dual_tail	qsub_local train.sh P0_Battery_dual_tail experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_slope.sh	Battery	dual	mse_slope	0	1	24	5e-3	NCEP_Battery_24h_dual_slope	P0_Battery_dual_slope	qsub_local train.sh P0_Battery_dual_slope experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_tail_slope.sh	Battery	dual	mse_tail_slope	1	1	24	5e-3	NCEP_Battery_24h_dual_tail_slope	P0_Battery_dual_tail_slope	qsub_local train.sh P0_Battery_dual_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Battery_24h_dual_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_mse.sh	Boston	single	mse	0	0	24	5e-3	NCEP_Boston_24h_single_mse	P0_Boston_single_mse	qsub_local train.sh P0_Boston_single_mse experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_tail.sh	Boston	single	mse_tail	1	0	24	5e-3	NCEP_Boston_24h_single_tail	P0_Boston_single_tail	qsub_local train.sh P0_Boston_single_tail experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_slope.sh	Boston	single	mse_slope	0	1	24	5e-3	NCEP_Boston_24h_single_slope	P0_Boston_single_slope	qsub_local train.sh P0_Boston_single_slope experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_tail_slope.sh	Boston	single	mse_tail_slope	1	1	24	5e-3	NCEP_Boston_24h_single_tail_slope	P0_Boston_single_tail_slope	qsub_local train.sh P0_Boston_single_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_single_tail_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_mse.sh	Boston	dual	mse	0	0	24	5e-3	NCEP_Boston_24h_dual_mse	P0_Boston_dual_mse	qsub_local train.sh P0_Boston_dual_mse experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_mse.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_tail.sh	Boston	dual	mse_tail	1	0	24	5e-3	NCEP_Boston_24h_dual_tail	P0_Boston_dual_tail	qsub_local train.sh P0_Boston_dual_tail experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_tail.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_slope.sh	Boston	dual	mse_slope	0	1	24	5e-3	NCEP_Boston_24h_dual_slope	P0_Boston_dual_slope	qsub_local train.sh P0_Boston_dual_slope experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_slope.sh
experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_tail_slope.sh	Boston	dual	mse_tail_slope	1	1	24	5e-3	NCEP_Boston_24h_dual_tail_slope	P0_Boston_dual_tail_slope	qsub_local train.sh P0_Boston_dual_tail_slope experiment_config/P0_QuickRun/train_config_NCEP_Boston_24h_dual_tail_slope.sh
