config	station	excess_weight	tail_lambda	loss_mode	history	lr	run_name	recommended_qsub_label	qsub_command
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_notail.sh	CBBT	5	0	mse	24	5e-3	NCEP_CBBT_24h_dual_ex5_notail	P1_CBBT_dual_ex5_notail	qsub_local train.sh P1_CBBT_dual_ex5_notail experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_notail.sh	CBBT	10	0	mse	24	5e-3	NCEP_CBBT_24h_dual_ex10_notail	P1_CBBT_dual_ex10_notail	qsub_local train.sh P1_CBBT_dual_ex10_notail experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex2_tail005.sh	CBBT	2	0.05	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex2_tail005	P1_CBBT_dual_ex2_tail005	qsub_local train.sh P1_CBBT_dual_ex2_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex2_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex2_tail010.sh	CBBT	2	0.10	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex2_tail010	P1_CBBT_dual_ex2_tail010	qsub_local train.sh P1_CBBT_dual_ex2_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex2_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_tail005.sh	CBBT	5	0.05	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex5_tail005	P1_CBBT_dual_ex5_tail005	qsub_local train.sh P1_CBBT_dual_ex5_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_tail010.sh	CBBT	5	0.10	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex5_tail010	P1_CBBT_dual_ex5_tail010	qsub_local train.sh P1_CBBT_dual_ex5_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex5_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_tail005.sh	CBBT	10	0.05	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex10_tail005	P1_CBBT_dual_ex10_tail005	qsub_local train.sh P1_CBBT_dual_ex10_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_tail010.sh	CBBT	10	0.10	mse_tail	24	5e-3	NCEP_CBBT_24h_dual_ex10_tail010	P1_CBBT_dual_ex10_tail010	qsub_local train.sh P1_CBBT_dual_ex10_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_CBBT_24h_dual_ex10_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_notail.sh	Lewes	5	0	mse	24	5e-3	NCEP_Lewes_24h_dual_ex5_notail	P1_Lewes_dual_ex5_notail	qsub_local train.sh P1_Lewes_dual_ex5_notail experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_notail.sh	Lewes	10	0	mse	24	5e-3	NCEP_Lewes_24h_dual_ex10_notail	P1_Lewes_dual_ex10_notail	qsub_local train.sh P1_Lewes_dual_ex10_notail experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex2_tail005.sh	Lewes	2	0.05	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex2_tail005	P1_Lewes_dual_ex2_tail005	qsub_local train.sh P1_Lewes_dual_ex2_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex2_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex2_tail010.sh	Lewes	2	0.10	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex2_tail010	P1_Lewes_dual_ex2_tail010	qsub_local train.sh P1_Lewes_dual_ex2_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex2_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_tail005.sh	Lewes	5	0.05	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex5_tail005	P1_Lewes_dual_ex5_tail005	qsub_local train.sh P1_Lewes_dual_ex5_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_tail010.sh	Lewes	5	0.10	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex5_tail010	P1_Lewes_dual_ex5_tail010	qsub_local train.sh P1_Lewes_dual_ex5_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex5_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_tail005.sh	Lewes	10	0.05	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex10_tail005	P1_Lewes_dual_ex10_tail005	qsub_local train.sh P1_Lewes_dual_ex10_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_tail010.sh	Lewes	10	0.10	mse_tail	24	5e-3	NCEP_Lewes_24h_dual_ex10_tail010	P1_Lewes_dual_ex10_tail010	qsub_local train.sh P1_Lewes_dual_ex10_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Lewes_24h_dual_ex10_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_notail.sh	Battery	5	0	mse	24	5e-3	NCEP_Battery_24h_dual_ex5_notail	P1_Battery_dual_ex5_notail	qsub_local train.sh P1_Battery_dual_ex5_notail experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_notail.sh	Battery	10	0	mse	24	5e-3	NCEP_Battery_24h_dual_ex10_notail	P1_Battery_dual_ex10_notail	qsub_local train.sh P1_Battery_dual_ex10_notail experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_notail.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex2_tail005.sh	Battery	2	0.05	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex2_tail005	P1_Battery_dual_ex2_tail005	qsub_local train.sh P1_Battery_dual_ex2_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex2_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex2_tail010.sh	Battery	2	0.10	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex2_tail010	P1_Battery_dual_ex2_tail010	qsub_local train.sh P1_Battery_dual_ex2_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex2_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_tail005.sh	Battery	5	0.05	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex5_tail005	P1_Battery_dual_ex5_tail005	qsub_local train.sh P1_Battery_dual_ex5_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_tail010.sh	Battery	5	0.10	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex5_tail010	P1_Battery_dual_ex5_tail010	qsub_local train.sh P1_Battery_dual_ex5_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex5_tail010.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_tail005.sh	Battery	10	0.05	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex10_tail005	P1_Battery_dual_ex10_tail005	qsub_local train.sh P1_Battery_dual_ex10_tail005 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_tail005.sh
experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_tail010.sh	Battery	10	0.10	mse_tail	24	5e-3	NCEP_Battery_24h_dual_ex10_tail010	P1_Battery_dual_ex10_tail010	qsub_local train.sh P1_Battery_dual_ex10_tail010 experiment_config/P1_WeightProbe/train_config_NCEP_Battery_24h_dual_ex10_tail010.sh
