experiment_id,config_path,station,formulation,tail_enabled,tail_lambda,configured_tail_lambda,amp_enabled,excess_amp_loss_weight,shape_enabled,shape_loss_weight,peak_enabled,peak_loss_weight,loss_mode,seed,checkpoint_selection,save_aux_checkpoints,checkpoint_overall_tol,run_tag,run_name,python_run_tag_base,history_hours,excess_amp_pool,excess_amp_beta,peak_pool,peak_pool_beta,severity_shape_eps,qsub_label,qsub_command,results_root
1,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A0_S0_P0.sh,CBBT,direct,0,0,0.025,0,0,0,0,0,0,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P0,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P0,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P0,24,max,20,max,20,1e-6,P2_CBBT_direct_T0_A0_S0_P0,qsub_local train.sh P2_CBBT_direct_T0_A0_S0_P0 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A0_S0_P0.sh,All_Results/P2_PeakAwareFactorial
2,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A0_S0_P1.sh,CBBT,direct,0,0,0.025,0,0,0,0,1,0.0035,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P1,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P1,NCEP_CBBT_24h_dual_direct_T0_A0_S0_P1,24,max,20,max,20,1e-6,P2_CBBT_direct_T0_A0_S0_P1,qsub_local train.sh P2_CBBT_direct_T0_A0_S0_P1 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A0_S0_P1.sh,All_Results/P2_PeakAwareFactorial
3,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A1_S0_P0.sh,CBBT,direct,0,0,0.025,1,0.0007,0,0,0,0,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P0,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P0,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P0,24,max,20,max,20,1e-6,P2_CBBT_direct_T0_A1_S0_P0,qsub_local train.sh P2_CBBT_direct_T0_A1_S0_P0 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A1_S0_P0.sh,All_Results/P2_PeakAwareFactorial
4,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A1_S0_P1.sh,CBBT,direct,0,0,0.025,1,0.0007,0,0,1,0.0035,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P1,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P1,NCEP_CBBT_24h_dual_direct_T0_A1_S0_P1,24,max,20,max,20,1e-6,P2_CBBT_direct_T0_A1_S0_P1,qsub_local train.sh P2_CBBT_direct_T0_A1_S0_P1 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T0_A1_S0_P1.sh,All_Results/P2_PeakAwareFactorial
5,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A0_S0_P0.sh,CBBT,direct,1,0.025,0.025,0,0,0,0,0,0,mse_tail,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P0,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P0,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P0,24,max,20,max,20,1e-6,P2_CBBT_direct_T1_A0_S0_P0,qsub_local train.sh P2_CBBT_direct_T1_A0_S0_P0 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A0_S0_P0.sh,All_Results/P2_PeakAwareFactorial
6,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A0_S0_P1.sh,CBBT,direct,1,0.025,0.025,0,0,0,0,1,0.0035,mse_tail,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P1,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P1,NCEP_CBBT_24h_dual_direct_T1_A0_S0_P1,24,max,20,max,20,1e-6,P2_CBBT_direct_T1_A0_S0_P1,qsub_local train.sh P2_CBBT_direct_T1_A0_S0_P1 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A0_S0_P1.sh,All_Results/P2_PeakAwareFactorial
7,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A1_S0_P0.sh,CBBT,direct,1,0.025,0.025,1,0.0007,0,0,0,0,mse_tail,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P0,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P0,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P0,24,max,20,max,20,1e-6,P2_CBBT_direct_T1_A1_S0_P0,qsub_local train.sh P2_CBBT_direct_T1_A1_S0_P0 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A1_S0_P0.sh,All_Results/P2_PeakAwareFactorial
8,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A1_S0_P1.sh,CBBT,direct,1,0.025,0.025,1,0.0007,0,0,1,0.0035,mse_tail,42,overall,0,0.01,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P1,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P1,NCEP_CBBT_24h_dual_direct_T1_A1_S0_P1,24,max,20,max,20,1e-6,P2_CBBT_direct_T1_A1_S0_P1,qsub_local train.sh P2_CBBT_direct_T1_A1_S0_P1 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_direct_T1_A1_S0_P1.sh,All_Results/P2_PeakAwareFactorial
9,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_severity_T0_A0_S0_P0.sh,CBBT,severity_shape,0,0,0.025,0,0,0,0,0,0,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P0,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P0,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P0,24,max,20,max,20,1e-6,P2_CBBT_severity_T0_A0_S0_P0,qsub_local train.sh P2_CBBT_severity_T0_A0_S0_P0 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_severity_T0_A0_S0_P0.sh,All_Results/P2_PeakAwareFactorial
10,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_severity_T0_A0_S0_P1.sh,CBBT,severity_shape,0,0,0.025,0,0,0,0,1,0.0035,mse,42,overall,0,0.01,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P1,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P1,NCEP_CBBT_24h_dual_severity_T0_A0_S0_P1,24,max,20,max,20,1e-6,P2_CBBT_severity_T0_A0_S0_P1,qsub_local train.sh P2_CBBT_severity_T0_A0_S0_P1 experiment_config/P2_PeakAwareFactorial/train_config_NCEP_CBBT_24h_dual_severity_T0_A0_S0_P1.sh,All_Results/P2_PeakAwareFactorial
