station,formulation,tail,amp,shape,peak,learning_rate,run_name,source_P2_semantic_config,reason,semantic_config,lr_label,config_path,source_P2_config_path,results_root,python_run_tag_base,p2_reference_selected_epoch,p2_reference_val_rmse_all_mm,p2_reference_late_val_rmse_all_mm,p2_reference_note,source_P2_sha256
Lewes,severity_shape,0,0,0,1,0.005,P3_Lewes_SS_T0_A0_S0_P1_LR5e-3,NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1,p2_degradation_alert,T0A0S0P1,LR5e-3,experiment_config/P3_LRStability/train_config_P3_Lewes_SS_T0_A0_S0_P1_LR5e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1.sh,All_Results/P3_LRStability,P3_Lewes_SS_T0_A0_S0_P1_LR5e-3,283,31.933,,User-supplied approximate P2 degradation reference; not a success threshold,1d8c620673c5da0e322f7bc58528134d36b87ac073555bddf81b41353be1bf6e
Lewes,severity_shape,0,0,0,1,0.002,P3_Lewes_SS_T0_A0_S0_P1_LR2e-3,NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1,p2_degradation_alert,T0A0S0P1,LR2e-3,experiment_config/P3_LRStability/train_config_P3_Lewes_SS_T0_A0_S0_P1_LR2e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1.sh,All_Results/P3_LRStability,P3_Lewes_SS_T0_A0_S0_P1_LR2e-3,283,31.933,,User-supplied approximate P2 degradation reference; not a success threshold,1d8c620673c5da0e322f7bc58528134d36b87ac073555bddf81b41353be1bf6e
Lewes,severity_shape,0,0,0,1,0.001,P3_Lewes_SS_T0_A0_S0_P1_LR1e-3,NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1,p2_degradation_alert,T0A0S0P1,LR1e-3,experiment_config/P3_LRStability/train_config_P3_Lewes_SS_T0_A0_S0_P1_LR1e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Lewes_24h_dual_severity_T0_A0_S0_P1.sh,All_Results/P3_LRStability,P3_Lewes_SS_T0_A0_S0_P1_LR1e-3,283,31.933,,User-supplied approximate P2 degradation reference; not a success threshold,1d8c620673c5da0e322f7bc58528134d36b87ac073555bddf81b41353be1bf6e
Battery,severity_shape,0,0,0,0,0.002,P3_Battery_SS_T0_A0_S0_P0_LR2e-3,NCEP_Battery_24h_dual_severity_T0_A0_S0_P0,core_probe,T0A0S0P0,LR2e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A0_S0_P0_LR2e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A0_S0_P0.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A0_S0_P0_LR2e-3,,,,,e348139241c109fd56ae386f9393b8a88a2393f6d3670a408fd7c999b7f8185c
Battery,severity_shape,0,0,0,0,0.001,P3_Battery_SS_T0_A0_S0_P0_LR1e-3,NCEP_Battery_24h_dual_severity_T0_A0_S0_P0,core_probe,T0A0S0P0,LR1e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A0_S0_P0_LR1e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A0_S0_P0.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A0_S0_P0_LR1e-3,,,,,e348139241c109fd56ae386f9393b8a88a2393f6d3670a408fd7c999b7f8185c
Battery,severity_shape,0,0,1,1,0.005,P3_Battery_SS_T0_A0_S1_P1_LR5e-3,NCEP_Battery_24h_dual_severity_T0_A0_S1_P1,p2_degradation_alert,T0A0S1P1,LR5e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A0_S1_P1_LR5e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A0_S1_P1.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A0_S1_P1_LR5e-3,271,43.668,,User-supplied approximate P2 degradation reference; not a success threshold,99a51cb02b6dd2b94d47b097fdc93022c6b7ee5effe1d71d6e5bcc3452774c0a
Battery,severity_shape,0,0,1,1,0.002,P3_Battery_SS_T0_A0_S1_P1_LR2e-3,NCEP_Battery_24h_dual_severity_T0_A0_S1_P1,p2_degradation_alert,T0A0S1P1,LR2e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A0_S1_P1_LR2e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A0_S1_P1.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A0_S1_P1_LR2e-3,271,43.668,,User-supplied approximate P2 degradation reference; not a success threshold,99a51cb02b6dd2b94d47b097fdc93022c6b7ee5effe1d71d6e5bcc3452774c0a
Battery,severity_shape,0,0,1,1,0.001,P3_Battery_SS_T0_A0_S1_P1_LR1e-3,NCEP_Battery_24h_dual_severity_T0_A0_S1_P1,p2_degradation_alert,T0A0S1P1,LR1e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A0_S1_P1_LR1e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A0_S1_P1.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A0_S1_P1_LR1e-3,271,43.668,,User-supplied approximate P2 degradation reference; not a success threshold,99a51cb02b6dd2b94d47b097fdc93022c6b7ee5effe1d71d6e5bcc3452774c0a
Battery,severity_shape,0,1,0,1,0.002,P3_Battery_SS_T0_A1_S0_P1_LR2e-3,NCEP_Battery_24h_dual_severity_T0_A1_S0_P1,core_probe,T0A1S0P1,LR2e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A1_S0_P1_LR2e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A1_S0_P1.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A1_S0_P1_LR2e-3,,,,,a484cab45c7d7a697e2d883647fc25323b72df585b6dc7f4275a6332e002e6a9
Battery,severity_shape,0,1,0,1,0.001,P3_Battery_SS_T0_A1_S0_P1_LR1e-3,NCEP_Battery_24h_dual_severity_T0_A1_S0_P1,core_probe,T0A1S0P1,LR1e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T0_A1_S0_P1_LR1e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T0_A1_S0_P1.sh,All_Results/P3_LRStability,P3_Battery_SS_T0_A1_S0_P1_LR1e-3,,,,,a484cab45c7d7a697e2d883647fc25323b72df585b6dc7f4275a6332e002e6a9
Battery,severity_shape,1,0,1,0,0.005,P3_Battery_SS_T1_A0_S1_P0_LR5e-3,NCEP_Battery_24h_dual_severity_T1_A0_S1_P0,p2_degradation_alert,T1A0S1P0,LR5e-3,experiment_config/P3_LRStability/train_config_P3_Battery_SS_T1_A0_S1_P0_LR5e-3.sh,experiment_config/P2_PeakAwareFactorial/train_config_NCEP_Battery_24h_dual_severity_T1_A0_S1_P0.sh,All_Results/P3_LRStability,P3_Battery_SS_T1_A0_S1_P0_LR5e-3,255,43.769,,User-supplied approximate P2 degradation reference; not a success threshold,2476733427b9da0f7cbda52ba143b60ad33f765421f168916563835c6a10a165
