station,variant,run_name,config,queue_label,head_type,excess_formulation,dual_loss,body_loss_weight,excess_loss_weight,gate_loss_weight,loss_mode,tail_lambda,excess_amp_loss_weight,shape_loss_weight,peak_loss_weight,slope_lambda,checkpoint_selection,save_aux_checkpoints,results_root,result_pattern,qsub_local_command
CBBT,single_base,NCEP_CBBT_24h_single_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_single_base.sh,A0_CBBT_single_base,single,direct,0,0,0,0,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_CBBT_24h_single_base__<TIMESTAMP>/,qsub_local train.sh A0_CBBT_single_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_single_base.sh
CBBT,dual_direct_base,NCEP_CBBT_24h_dual_direct_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_dual_direct_base.sh,A0_CBBT_dual_direct_base,dual,direct,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_CBBT_24h_dual_direct_base__<TIMESTAMP>/,qsub_local train.sh A0_CBBT_dual_direct_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_dual_direct_base.sh
CBBT,dual_severity_base,NCEP_CBBT_24h_dual_severity_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_dual_severity_base.sh,A0_CBBT_dual_severity_base,dual,severity_shape,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_CBBT_24h_dual_severity_base__<TIMESTAMP>/,qsub_local train.sh A0_CBBT_dual_severity_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_CBBT_24h_dual_severity_base.sh
Lewes,single_base,NCEP_Lewes_24h_single_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_single_base.sh,A0_Lewes_single_base,single,direct,0,0,0,0,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Lewes_24h_single_base__<TIMESTAMP>/,qsub_local train.sh A0_Lewes_single_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_single_base.sh
Lewes,dual_direct_base,NCEP_Lewes_24h_dual_direct_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_dual_direct_base.sh,A0_Lewes_dual_direct_base,dual,direct,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Lewes_24h_dual_direct_base__<TIMESTAMP>/,qsub_local train.sh A0_Lewes_dual_direct_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_dual_direct_base.sh
Lewes,dual_severity_base,NCEP_Lewes_24h_dual_severity_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_dual_severity_base.sh,A0_Lewes_dual_severity_base,dual,severity_shape,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Lewes_24h_dual_severity_base__<TIMESTAMP>/,qsub_local train.sh A0_Lewes_dual_severity_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Lewes_24h_dual_severity_base.sh
Battery,single_base,NCEP_Battery_24h_single_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_single_base.sh,A0_Battery_single_base,single,direct,0,0,0,0,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Battery_24h_single_base__<TIMESTAMP>/,qsub_local train.sh A0_Battery_single_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_single_base.sh
Battery,dual_direct_base,NCEP_Battery_24h_dual_direct_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_dual_direct_base.sh,A0_Battery_dual_direct_base,dual,direct,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Battery_24h_dual_direct_base__<TIMESTAMP>/,qsub_local train.sh A0_Battery_dual_direct_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_dual_direct_base.sh
Battery,dual_severity_base,NCEP_Battery_24h_dual_severity_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_dual_severity_base.sh,A0_Battery_dual_severity_base,dual,severity_shape,1,1,2,0.5,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Battery_24h_dual_severity_base__<TIMESTAMP>/,qsub_local train.sh A0_Battery_dual_severity_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Battery_24h_dual_severity_base.sh
Boston,single_base,NCEP_Boston_24h_single_base,experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Boston_24h_single_base.sh,A0_Boston_single_base,single,direct,0,0,0,0,mse,0,0,0,0,0,overall,0,All_results_0916/A0_HeadCapacity,All_results_0916/A0_HeadCapacity/NCEP_Boston_24h_single_base__<TIMESTAMP>/,qsub_local train.sh A0_Boston_single_base experiment_config_0916/A0_HeadCapacity/train_config_NCEP_Boston_24h_single_base.sh
