station,epoch,unit,unit_id,component,group,weight,weighted_loss,weighted_grad_norm,weighted_ratio_base,weighted_ratio_dual_base
Battery,50,batch,0,tail,shared,0.01,3.8419000338763e-05,0.0013794483138829545,0.07240098034945693,0.0313788046391454
Battery,50,batch,0,tail,shared,0.025,9.60475008469075e-05,0.003448620784707386,0.1810024508736423,0.07844701159786349
Battery,50,batch,0,tail,shared,0.05,0.000192095001693815,0.006897241569414772,0.3620049017472846,0.15689402319572698
Battery,50,batch,0,tail,shared,0.1,0.00038419000338763,0.013794483138829545,0.7240098034945692,0.31378804639145397
Battery,50,batch,0,body,shared,1.0,0.002276601968333125,0.016974847272436904,0.890932680433155,0.38613292791071757
Battery,50,batch,0,excess,shared,2.0,0.0003325008729007095,0.014087685761719801,0.7393986782531548,0.3204576314210378
Battery,50,batch,0,gate,shared,0.5,0.0002772949810605496,0.004296427001713717,0.2254999508088454,0.09773236313119527
Battery,50,batch,0,amp_true,shared,0.0001,2.790996339172125e-07,7.676372604117322e-06,0.0004028979530964617,0.00017461719577144188
Battery,50,batch,0,amp_true,shared,0.0003,8.372989017516374e-07,2.3029117812351965e-05,0.001208693859289385,0.0005238515873143256
Battery,50,batch,0,amp_true,shared,0.0007,1.9536974374204874e-06,5.3734608228821255e-05,0.0028202856716752316,0.0012223203704000932
Battery,50,batch,0,amp_true,shared,0.001,2.7909963391721247e-06,7.676372604117322e-05,0.004028979530964617,0.0017461719577144188
Battery,50,batch,0,amp_true,shared,0.003,8.372989017516375e-06,0.00023029117812351966,0.01208693859289385,0.0052385158731432565
Battery,50,batch,0,tail,temporal,0.01,3.8419000338763e-05,9.450085238127111e-06,0.05055620544983483,0.02293562324891662
Battery,50,batch,0,tail,temporal,0.025,9.60475008469075e-05,2.3625213095317777e-05,0.12639051362458706,0.05733905812229154
Battery,50,batch,0,tail,temporal,0.05,0.000192095001693815,4.7250426190635555e-05,0.2527810272491741,0.11467811624458309
Battery,50,batch,0,tail,temporal,0.1,0.00038419000338763,9.450085238127111e-05,0.5055620544983482,0.22935623248916617
Battery,50,batch,0,body,temporal,1.0,0.002276601968333125,0.0001747153972977794,0.9346950105168187,0.4240391940634846
Battery,50,batch,0,excess,temporal,2.0,0.0003325008729007095,9.994765844418906e-05,0.5347014579453442,0.24257578433669638
Battery,50,batch,0,gate,temporal,0.5,0.0002772949810605496,1.9943280208206748e-05,0.10669285473551442,0.04840290322012573
Battery,50,batch,0,amp_true,temporal,0.0001,2.790996339172125e-07,3.4516879077244735e-08,0.00018465890900917797,8.377343847122761e-05
Battery,50,batch,0,amp_true,temporal,0.0003,8.372989017516374e-07,1.0355063723173419e-07,0.0005539767270275338,0.00025132031541368283
Battery,50,batch,0,amp_true,temporal,0.0007,1.9536974374204874e-06,2.4161815354071316e-07,0.0012926123630642458,0.0005864140692985933
Battery,50,batch,0,amp_true,temporal,0.001,2.7909963391721247e-06,3.451687907724473e-07,0.0018465890900917796,0.0008377343847122762
Battery,50,batch,0,amp_true,temporal,0.003,8.372989017516375e-06,1.035506372317342e-06,0.005539767270275339,0.0025132031541368286
