station,epoch,unit,component,group,weight,weighted_loss_n,weighted_loss_mean,weighted_loss_median,weighted_loss_min,weighted_loss_max,weighted_grad_norm_n,weighted_grad_norm_mean,weighted_grad_norm_median,weighted_grad_norm_min,weighted_grad_norm_max,weighted_ratio_base_n,weighted_ratio_base_mean,weighted_ratio_base_median,weighted_ratio_base_min,weighted_ratio_base_max,weighted_ratio_dual_base_n,weighted_ratio_dual_base_mean,weighted_ratio_dual_base_median,weighted_ratio_dual_base_min,weighted_ratio_dual_base_max
Battery,50,accum4,amp_true,excess,0.0001,4,3.1763545011926906e-07,3.106725598627236e-07,2.530368830775842e-07,3.9615979767404497e-07,4,3.621307369044001e-06,3.6345719231125057e-06,2.5377153916441824e-06,4.67837023830681e-06,4,0.01651036444869272,0.013936100543969505,0.0018730115992116102,0.036296245107620265,4,0.007623325641876362,0.00408022087833089,0.0005801246847155214,0.021752736126128144
Battery,50,accum4,amp_true,excess,0.0003,4,9.52906350357807e-07,9.320176795881706e-07,7.591106492327525e-07,1.1884793930221347e-06,4,1.0863922107132002e-05,1.0903715769337515e-05,7.613146174932546e-06,1.4035110714920429e-05,4,0.04953109334607816,0.04180830163190851,0.00561903479763483,0.10888873532286078,4,0.022869976925629084,0.012240662634992669,0.0017403740541465638,0.06525820837838443
Battery,50,accum4,amp_true,excess,0.0007,4,2.2234481508348837e-06,2.1747079190390653e-06,1.7712581815430895e-06,2.773118583718315e-06,4,2.5349151583308003e-05,2.5442003461787536e-05,1.7764007741509275e-05,3.274859166814767e-05,4,0.11557255114084904,0.09755270380778652,0.01311108119448127,0.2540737157533418,4,0.05336327949313453,0.028561546148316228,0.004060872793008649,0.152269152882897
Battery,50,accum4,amp_true,excess,0.001,4,3.1763545011926905e-06,3.1067255986272357e-06,2.530368830775842e-06,3.96159797674045e-06,4,3.621307369044001e-05,3.6345719231125054e-05,2.5377153916441822e-05,4.6783702383068105e-05,4,0.16510364448692721,0.13936100543969504,0.0187301159921161,0.3629624510762026,4,0.0762332564187636,0.040802208783308896,0.0058012468471552135,0.21752736126128144
Battery,50,accum4,amp_true,excess,0.003,4,9.529063503578074e-06,9.320176795881709e-06,7.591106492327527e-06,1.188479393022135e-05,4,0.00010863922107132004,0.00010903715769337517,7.613146174932547e-05,0.00014035110714920432,4,0.4953109334607816,0.4180830163190852,0.0561903479763483,1.0888873532286079,4,0.22869976925629082,0.12240662634992669,0.01740374054146564,0.6525820837838443
Battery,50,accum4,amp_true,full,0.0001,4,3.1763545011926906e-07,3.106725598627236e-07,2.530368830775842e-07,3.9615979767404497e-07,4,7.81395647435414e-06,8.057456114127263e-06,5.5558833985997685e-06,9.58503027056227e-06,4,0.0003192724513657942,0.00033697747201128533,0.00020432333714555934,0.0003988115242950468,4,0.000150629455442185,0.00015750346085410078,9.821041260573633e-05,0.0001893004874548021
Battery,50,accum4,amp_true,full,0.0003,4,9.52906350357807e-07,9.320176795881706e-07,7.591106492327525e-07,1.1884793930221347e-06,4,2.344186942306242e-05,2.4172368342381785e-05,1.6667650195799302e-05,2.8755090811686806e-05,4,0.0009578173540973824,0.0010109324160338558,0.0006129700114366779,0.00119643457288514,4,0.0004518883663265549,0.00047251038256230225,0.00029463123781720896,0.0005679014623644062
Battery,50,accum4,amp_true,full,0.0007,4,2.2234481508348837e-06,2.1747079190390653e-06,1.7712581815430895e-06,2.773118583718315e-06,4,5.4697695320478984e-05,5.640219279889083e-05,3.8891183790198376e-05,6.709521189393589e-05,4,0.002234907159560559,0.002358842304078997,0.0014302633600189153,0.002791680670065327,4,0.001054406188095295,0.0011025242259787055,0.0006874728882401543,0.0013251034121836145
Battery,50,accum4,amp_true,full,0.001,4,3.1763545011926905e-06,3.1067255986272357e-06,2.530368830775842e-06,3.96159797674045e-06,4,7.813956474354142e-05,8.057456114127263e-05,5.5558833985997685e-05,9.58503027056227e-05,4,0.003192724513657942,0.0033697747201128533,0.0020432333714555935,0.0039881152429504674,4,0.0015062945544218498,0.0015750346085410076,0.0009821041260573633,0.0018930048745480208
Battery,50,accum4,amp_true,full,0.003,4,9.529063503578074e-06,9.320176795881709e-06,7.591106492327527e-06,1.188479393022135e-05,4,0.00023441869423062423,0.00024172368342381787,0.00016667650195799304,0.0002875509081168681,4,0.009578173540973825,0.010109324160338561,0.00612970011436678,0.011964345728851402,4,0.00451888366326555,0.004725103825623023,0.00294631237817209,0.005679014623644062
Battery,50,accum4,amp_true,shared,0.0001,4,3.1763545011926906e-07,3.106725598627236e-07,2.530368830775842e-07,3.9615979767404497e-07,4,6.906291720638242e-06,6.922851820230304e-06,4.9424529264170776e-06,8.83701031567528e-06,4,0.00031973856698595457,0.0003294002598354988,0.0002126230512888033,0.0004075306969840174,4,0.00014919046238462283,0.00014863514910971103,0.00010109864044854987,0.0001983929108705194
Battery,50,accum4,amp_true,shared,0.0003,4,9.52906350357807e-07,9.320176795881706e-07,7.591106492327525e-07,1.1884793930221347e-06,4,2.071887516191472e-05,2.0768555460690906e-05,1.482735877925123e-05,2.6511030947025837e-05,4,0.0009592157009578636,0.0009882007795064963,0.0006378691538664098,0.001222592090952052,4,0.0004475713871538684,0.00044590544732913296,0.00030329592134564954,0.000595178732611558
Battery,50,accum4,amp_true,shared,0.0007,4,2.2234481508348837e-06,2.1747079190390653e-06,1.7712581815430895e-06,2.773118583718315e-06,4,4.834404204446768e-05,4.845996274161212e-05,3.459717048491954e-05,6.185907220972696e-05,4,0.002238169968901682,0.0023058018188484913,0.001488361359021623,0.0028527148788881217,4,0.0010443332366923597,0.001040446043767977,0.0007076904831398491,0.0013887503760936356
